Nodo;latitude;longitud;Velocidad_Objetivo;Velocidad;CACC;Hora;Distancia_Objetivo;Distancia;;minuto;Segundos;Ellapsed_Seconds;Acceleracion
1;0,342792;0,52906;3,5;3,39;0,51;10:25:30;10;32,79;;3;30;156;-0,133333333
0;0,342879;0,529419;3,5;2,44;;10:25:31;10;;;3;31;164;-0,118888889
1;0,342852;0,52906;3,5;2,86;0,62;10:25:31;10;39,99;;3;31;157;-0,53
0;0,342879;0,529419;3,5;2,67;;10:25:32;10;;;3;32;165;0,23
1;0,342852;0,52906;3,5;2,77;0,79;10:25:32;10;39,99;;3;32;158;-0,09
0;0,342858;0,529442;3,5;2,79;;10:25:33;10;;;3;33;166;0,12
1;0,342882;0,52906;3,5;3,85;0,83;10:25:33;10;42,52;;3;33;159;1,08
0;0,342843;0,529434;3,5;3,06;;10:25:34;10;;;3;34;167;0,27
1;0,342909;0,529068;3,5;3,53;0,85;10:25:34;10;41,97;;3;34;160;-0,32
0;0,342827;0,529427;3,5;3,17;;10:25:35;10;;;3;35;168;0,11
1;0,342943;0,529099;3,5;3,54;0,82;10:25:35;10;38,74;;3;35;161;0,01
0;0,342806;0,529411;3,5;3,23;;10:25:36;10;;;3;36;169;0,06
1;0,342943;0,529099;3,5;3,51;0,74;10:25:36;10;38,74;;3;36;162;-0,03
0;;;;;;;;;;;;#VALUE!;#VALUE!
1;;;;;;;;;;;;#VALUE!;#VALUE!
0;0,342761;0,529373;3,5;3,19;;10:25:38;10;;;3;38;171;#VALUE!
1;0,34295;0,529167;3,5;3,66;0,71;10:25:38;10;31,48;;3;38;164;#VALUE!
0;0,342738;0,529358;3,5;3,11;;10:25:39;10;;;3;39;172;-0,08
1;0,34295;0,529167;3,5;3,45;0,47;10:25:39;10;31,06;;3;39;165;-0,21
0;0,342711;0,529343;3,5;2,98;;10:25:40;10;;;3;40;173;-0,13
1;0,342923;0,529221;3,5;3,7;0,34;10:25:40;10;25,6;;3;40;166;0,25
0;0,342683;0,529343;3,5;2,87;;10:25:41;10;;;3;41;174;-0,11
1;0,342923;0,529221;3,5;3,5;0,23;10:25:41;10;25,6;;3;41;167;-0,2
0;0,342656;0,529343;3,5;3;;10:25:42;10;;;3;42;175;0,13
1;0,342877;0,529266;3,5;3,59;0,19;10:25:42;10;23,19;;3;42;168;0,09
0;0,342629;0,529343;3,5;3,1;;10:25:43;10;;;3;43;176;0,1
1;0,34285;0,529274;3,5;3,71;0,11;10:25:43;10;22,89;;3;43;169;0,12
0;0,342603;0,529343;3,5;3,18;;10:25:44;10;;;3;44;177;0,08
1;0,34282;0,529274;3,5;3,74;0,07;10:25:44;10;22,58;;3;44;170;0,03
1;0,34282;0,529274;3,5;3,7;0,05;10:25:44;10;22,58;;3;44;170;-0,074285714
0;0,342578;0,529335;3,5;3,14;;10:25:45;10;;;3;45;178;-0,075
1;0,342757;0,529266;3,5;3,61;0,05;10:25:45;10;21,29;;3;45;171;-0,09
0;0,342552;0,529335;3,5;3,11;;10:25:46;10;;;3;46;179;-0,03
1;0,342721;0,529266;3,5;3,46;0,02;10:25:46;10;20,23;;3;46;172;-0,15
0;;;;;;;;;;;;#VALUE!;#VALUE!
1;;;;;;;;;;;;#VALUE!;#VALUE!
0;0,342496;0,529343;3,5;3,12;;10:25:48;10;;;3;48;181;#VALUE!
1;0,342684;0,529266;3,5;3,44;-0,01;10:25:48;10;22,61;;3;48;174;#VALUE!
0;0,342468;0,52935;3,5;3,15;;10:25:49;10;;;3;49;182;0,03
1;0,34265;0,529266;3,5;3,29;0,06;10:25:49;10;19,17;;3;49;175;-0,15
0;0,342442;0,529366;3,5;3,13;;10:25:50;10;;;3;50;183;-0,02
1;0,342616;0,529274;3,5;3,13;-0,01;10:25:50;10;18,53;;3;50;176;-0,16
0;0,342419;0,529373;3,5;3,18;;10:25:51;10;;;3;51;184;0,05
1;0,342585;0,529282;3,5;2,99;-0,04;10:25:51;10;18,49;;3;51;177;-0,14
0;0,342395;0,529381;3,5;3,12;;10:25:52;10;;;3;52;185;-0,06
1;0,342557;0,529274;3,5;2,79;-0,03;10:25:52;10;18,93;;3;52;178;-0,2
0;0,342367;0,529388;3,5;3,06;;10:25:53;10;;;3;53;186;-0,06
1;0,34253;0,529266;3,5;2,85;-0,01;10:25:53;10;19,74;;3;53;179;0,06
0;0,342304;0,529419;3,5;3,11;;10:25:54;10;;;3;54;187;0,05
1;0,342504;0,529259;3,5;3,1;0,02;10:25:54;10;20,97;;3;54;180;0,25
0;;;;;;;;;;;;#VALUE!;#VALUE!
1;;;;;;;;;;;;#VALUE!;#VALUE!
0;0,342279;0,529427;3,5;3,07;;10:25:56;10;;;3;56;189;#VALUE!
1;0,342456;0,529251;3,5;3,24;0,21;10:25:56;10;27,72;;3;56;182;#VALUE!
0;0,342254;0,529434;3,5;3,14;;10:25:57;10;;;3;57;190;0,07
1;0,34243;0,529251;3,5;3,24;0,28;10:25:57;10;25,77;;3;57;183;0
0;0,342228;0,529434;3,5;3,11;;10:25:58;10;;;3;58;191;-0,03
1;0,342403;0,529243;3,5;2,95;0,24;10:25:58;10;26,87;;3;58;184;-0,29
1;0,342403;0,529243;3,5;2,85;0,29;10:25:58;10;26,87;;3;58;184;0,037142857
0;0,342205;0,529427;3,5;2,9;;10:25:59;10;;;3;59;192;-0,00625
1;;;;;;;;;;;;#VALUE!;#VALUE!
0;0,342188;0,529419;3,5;2,9;;10:26:00;10;;;4;00;193;0
1;0,342352;0,529251;3,5;2,78;0,31;10:26:00;10;25,47;;4;00;186;#VALUE!
0;0,342172;0,529404;3,5;3,17;;10:26:01;10;;;4;01;194;0,27
1;0,34233;0,529259;3,5;2,86;0,27;10:26:01;10;23,79;;4;01;187;0,08
0;0,342158;0,529396;3,5;3,3;;10:26:02;10;;;4;02;195;0,13
1;0,34233;0,529259;3,5;3,02;0,2;10:26:02;10;23,79;;4;02;188;0,16
0;0,342147;0,529381;3,5;3,39;;10:26:03;10;;;4;03;196;0,09
1;0,342287;0,529259;3,5;3,27;0,13;10:26:03;10;20,97;;4;03;189;0,25
0;0,342133;0,529366;3,5;3,47;;10:26:04;10;;;4;04;197;0,08
1;0,342264;0,529251;3,5;3,59;0,05;10:26:04;10;19,47;;4;04;190;0,32
0;0,342109;0,52935;3,5;3,54;;10:26:05;10;;;4;05;198;0,07
1;0,342241;0,529243;3,5;3,75;-0,04;10:26:05;10;18,16;;4;05;191;0,16
0;0,342079;0,529327;3,5;3,66;;10:26:06;10;;;4;06;199;0,12
1;0,342218;0,529236;3,5;3,74;-0,11;10:26:06;10;17,53;;4;06;192;-0,01
0;0,342052;0,529305;3,5;3,81;;10:26:07;10;;;4;07;200;0,15
1;0,342192;0,529236;3,5;3,58;-0,13;10:26:07;10;16,14;;4;07;193;-0,16
0;0,342052;0,529305;3,5;3,94;;10:26:08;10;;;4;08;201;0,13
1;0,342162;0,529236;3,5;3,61;-0,18;10:26:08;10;14,46;;4;08;194;0,03
0;0,341987;0,529266;3,5;4,21;;10:26:09;10;;;4;09;202;0,27
1;0,342133;0,529236;3,5;3,61;-0,25;10:26:09;10;11,83;;4;09;195;0
0;0,341951;0,529243;3,5;4,25;;10:26:10;10;;;4;10;203;0,04
1;0,342103;0,529228;3,5;3,67;-0,34;10:26:10;10;13,59;;4;10;196;0,06
0;0,341914;0,529228;3,5;3,92;;10:26:11;10;;;4;11;204;-0,33
1;0,342045;0,529221;3,5;4;-0,31;10:26:11;10;14,57;;4;11;197;0,33
0;0,341833;0,529213;3,5;3,88;;10:26:12;10;;;4;12;205;-0,04
1;0,342013;0,529213;3,5;4,2;-0,3;10:26:12;10;20;;4;12;198;0,2
0;0,341833;0,529213;3,5;3,52;;10:26:13;10;;;4;13;206;-0,36
1;;;;;;;;;;;;#VALUE!;#VALUE!
0;0,341833;0,529213;3,5;3,25;;10:26:14;10;;;4;14;207;-0,27
1;0,34198;0,529213;3,5;4,13;-0,14;10:26:14;10;16,29;;4;14;200;#VALUE!
0;0,341764;0,529205;3,5;2,95;;10:26:15;10;;;4;15;208;-0,3
1;0,341947;0,529213;3,5;3,95;-0,22;10:26:15;10;12,71;;4;15;201;-0,18
0;0,341736;0,529198;3,5;2,94;;10:26:16;10;;;4;16;209;-0,01
1;0,341914;0,529213;3,5;3,92;-0,34;10:26:16;10;16,7;;4;16;202;-0,03
0;0,34171;0,529205;3,5;3,02;;10:26:17;10;;;4;17;210;0,08
1;0,341877;0,529205;3,5;3,9;-0,23;10:26:17;10;15,75;;4;17;203;-0,02
0;0,341688;0,529205;3,5;3,03;;10:26:18;10;;;4;18;211;0,01
1;0,341841;0,529198;3,5;3,66;-0,23;10:26:18;10;14,59;;4;18;204;-0,24
0;;;;;;;;;;;;#VALUE!;#VALUE!
1;0,341802;0,529198;3,5;3,69;-0,26;10:26:19;10;12,74;;4;19;205;0,03
0;0,34165;0,529221;3,5;3,22;;10:26:20;10;;;4;20;213;#VALUE!
1;0,341765;0,52919;3,5;3,59;-0,31;10:26:20;10;13,28;;4;20;206;-0,1
0;0,341625;0,529228;3,5;3,1;;10:26:21;10;;;4;21;214;-0,12
1;0,341734;0,529182;3,5;3,44;-0,31;10:26:21;10;13,16;;4;21;207;-0,15
0;0,341594;0,529236;3,5;2,76;;10:26:22;10;;;4;22;215;-0,34
1;0,341704;0,529182;3,5;3,15;-0,3;10:26:22;10;10,13;;4;22;208;-0,29
