Nodo;latitude;longitud;Velocidad_Objetivo;Velocidad;CACC;Hora;Distancia_Objetivo;Distancia;;minuto;Segundos;Ellapsed_Seconds;Acceleracion
1;0,341038;0,52816;3,5;1,73;0,06;10:23:30;10;18,8;;1;30;36;-0,3
0;0,341035;0,528374;3,5;3,28;;10:23:31;10;;;1;31;44;0,23
1;0,341042;0,528183;3,5;1,79;0,09;10:23:31;10;18,74;;1;31;37;0,06
0;0,34104;0,528404;3,5;3,2;;10:23:32;10;;;1;32;45;-0,08
1;0,341039;0,528198;3,5;1,81;0,08;10:23:32;10;19,54;;1;32;38;0,02
0;0,341042;0,528427;3,5;3,4;;10:23:33;10;;;1;33;46;0,2
1;0,341039;0,528214;3,5;2,3;0,11;10:23:33;10;21,18;;1;33;39;0,49
0;0,341031;0,52845;3,5;3,57;;10:23:34;10;;;1;34;47;0,17
1;0,341042;0,528236;3,5;3,06;0,09;10:23:34;10;21,19;;1;34;40;0,76
0;0,340976;0,528481;3,5;3,7;;10:23:35;10;;;1;35;48;0,13
1;0,341047;0,528252;3,5;2,37;0,07;10:23:35;10;22,12;;1;35;41;-0,69
0;0,340976;0,528481;3,5;3,6;;10:23:36;10;;;1;36;49;-0,1
1;0,341054;0,528267;3,5;2,54;0,15;10:23:36;10;25,34;;1;36;42;0,17
0;0,340942;0,528488;3,5;3,66;;10:23:37;10;;;1;37;50;0,06
1;0,341058;0,528282;3,5;2,42;0,26;10:23:37;10;23,9;;1;37;43;-0,12
0;0,340909;0,528488;3,5;3,67;;10:23:38;10;;;1;38;51;0,01
1;0,341057;0,52829;3,5;2,3;0,24;10:23:38;10;25,48;;1;38;44;-0,12
0;0,340882;0,528496;3,5;3,81;;10:23:39;10;;;1;39;52;0,14
1;0,341048;0,528305;3,5;2,52;0,3;10:23:39;10;25,51;;1;39;45;0,22
0;0,340862;0,528519;3,5;3,91;;10:23:40;10;;;1;40;53;0,1
1;0,341036;0,528313;3,5;2,85;0,29;10:23:40;10;26,61;;1;40;46;0,33
0;0,340846;0,528534;3,5;3,86;;10:23:41;10;;;1;41;54;-0,05
1;0,341023;0,528313;3,5;3,27;0,3;10:23:41;10;29,11;;1;41;47;0,42
0;0,340835;0,528557;3,5;3,74;;10:23:42;10;;;1;42;55;-0,12
1;0,341011;0,528305;3,5;3,33;0,34;10:23:42;10;31,39;;1;42;48;0,06
0;0,340828;0,52858;3,5;3,65;;10:23:43;10;;;1;43;56;-0,09
